id,chords,release_date,genres,decade,rock_genre,artist_id,main_genre,spotify_song_id,spotify_artist_id
42,<intro_1> Cmaj7 Fmaj7 G7 Cmaj7 <verse_1> C Am F G <verse_2> C Am F G <chorus_1> C F G F <bridge_1> C G Am F <outro_1> Cmaj7 Fmaj7 G7 Cmaj7,,,1990.0,,artist_42,,,
43,<intro_1> Abm7 Dbm7 Gb7 Cbmaj7 <verse_1> Abm Dbm Gb Cb <solo_1> Abm Gb Fb Eb <outro_1> Abm Dbm Ebm Abm,,'electronic',2000.0,,artist_43,electronic,,
44,<intro_1> C F G F <bridge_1> Am F C G <solo_1> C F G F <outro_1> Am F C G,,,,,artist_44,,synth000044,synthartist000044
45,<intro_1> Dm7 Gm7 C7 Fmaj7 <chorus_1> Dm Bb F C <chorus_2> Dm7 Gm7 C7 Fmaj7 <outro_1> Dm C Bb A,,,1970.0,,artist_45,,synth000045,synthartist000045
46,<intro_1> F#m Bm E A <verse_1> F#m Bm E A <bridge_1> F#m Bm E A <chorus_1> F#m Bm E A <verse_2> F#m Bm E A <outro_1> F#m E D C#,,'r&b',1980.0,,artist_46,r&b,,
47,<intro_1> Fm Bbm Eb Ab <solo_1> Fm7 Bbm7 Eb7 Abmaj7 <solo_2> Fm7 Bbm7 Eb7 Abmaj7 <verse_1> Fm Bbm Eb Ab <outro_1> Fm Bbm Cm Fm,,,1980.0,,artist_47,,synth000047,synthartist000047
48,<intro_1> Dm G C <chorus_1> Dm G C <bridge_1> Cmaj7 Fmaj7 G7 Cmaj7 <solo_1> Am F C G <outro_1> C G Am Em F C F G,,'r&b',1990.0,,artist_48,r&b,,
49,<intro_1> Bbm Gb Db Ab <bridge_1> Bbm Ab Gb F <verse_1> Bbm Ebm Fm Bbm <outro_1> Bbm Ebm Fm Bbm,,'metal',,,artist_49,metal,,
50,<intro_1> Bb Eb F Eb <verse_1> Cm F Bb <verse_2> Cm F Bb <solo_1> Bb Eb F Eb <outro_1> Bb F Gm Eb,,,,,artist_50,,synth000050,synthartist000050
51,<intro_1> B G#m E F# <bridge_1> B F# G#m D#m E B E F# <outro_1> B G#m E F#,,'electronic',1980.0,,artist_51,electronic,synth000051,synthartist000051
52,<intro_1> Am G F E <chorus_1> Am7 Dm7 G7 Cmaj7 <chorus_2> Am7 Dm7 G7 Cmaj7 <bridge_1> Am G F E <outro_1> Am Dm Em Am,,'pop',1980.0,,artist_52,pop,synth000052,synthartist000052
53,<intro_1> Abm Gb Fb Eb <verse_1> Abm7 Dbm7 Gb7 Cbmaj7 <solo_1> Abm Fb Cb Gb <outro_1> Abm Dbm Ebm Abm,,,2010.0,,artist_53,,synth000053,synthartist000053
54,<intro_1> C#m7 F#7 Bmaj7 <verse_1> B F# G#m D#m E B E F# <verse_2> B F# G#m D#m E B E F# <verse_3> B F# G#m D#m E B E F# <outro_1> B G#m E F#,,'folk',2010.0,,artist_54,folk,,
55,<intro_1> D Bm G A <verse_1> Bm G D A <solo_1> Em7 A7 Dmaj7 <outro_1> D A Bm F#m G D G A,,'folk',,,artist_55,folk,synth000055,synthartist000055
56,<intro_1> Ebm7 Abm7 Db7 Gbmaj7 <verse_1> Ebm Cb Gb Db <bridge_1> Ebm Cb Gb Db <outro_1> Ebm7 Abm7 Db7 Gbmaj7,,,1990.0,,artist_56,,,
57,<intro_1> A D E D <chorus_1> F#m D A E <outro_1> Bm7 E7 Amaj7,,,1980.0,,artist_57,,synth000057,synthartist000057
58,<intro_1> Ebm Abm Bbm Ebm <solo_1> Ebm Db Cb Bb <outro_1> Ebm Abm Bbm Ebm,,,2010.0,,artist_58,,synth000058,synthartist000058
59,<intro_1> F C Dm Am Bb F Bb C <solo_1> F Dm Bb C <outro_1> Dm Bb F C,,,2020.0,,artist_59,,synth000059,synthartist000059
60,<intro_1> Ebmaj7 Abmaj7 Bb7 Ebmaj7 <chorus_1> Eb Bb Cm Ab <verse_1> Fm7 Bb7 Ebmaj7 <verse_2> Fm7 Bb7 Ebmaj7 <solo_1> Eb Cm Ab Bb <outro_1> Cm Ab Eb Bb,,,1970.0,,artist_60,,,
61,<intro_1> Abm Gb Fb Eb <solo_1> Abm Fb Cb Gb <chorus_1> Abm Fb Cb Gb <verse_1> Abm Gb Fb Eb <verse_2> Abm Gb Fb Eb <outro_1> Abm Fb Cb Gb,,,1990.0,,artist_61,,,
62,<intro_1> Gm7 C7 Fmaj7 <bridge_1> F C Dm Am Bb F Bb C <bridge_2> F Dm Bb C <verse_1> F Bb C Bb <outro_1> Fmaj7 Bbmaj7 C7 Fmaj7,,'indie',,,artist_62,indie,,
63,<intro_1> Bm G D A <solo_1> Em A D <chorus_1> Em A D <outro_1> D A Bm G,,'r&b',,,artist_63,r&b,synth000063,synthartist000063
64,<intro_1> D Bm G A <bridge_1> D G A G <solo_1> D A Bm F#m G D G A <chorus_1> Em7 A7 Dmaj7 <outro_1> D A Bm G,,,2000.0,,artist_64,,,
65,<intro_1> Cm Fm Gm Cm <chorus_1> Cm7 Fm7 Bb7 Ebmaj7 <bridge_1> Cm Bb Ab G <solo_1> Cm Fm Gm Cm <outro_1> Cm Fm Gm Cm,,'indie',,,artist_65,indie,synth000065,synthartist000065
66,<intro_1> Am F C G <bridge_1> Am Dm G C <bridge_2> Am7 Dm7 G7 Cmaj7 <solo_1> Am Dm Em Am <outro_1> Am Dm G C,,'metal',1970.0,,artist_66,metal,synth000066,synthartist000066
67,<intro_1> Am Dm Em Am <bridge_1> Am F C G <bridge_2> Am G F E <verse_1> Am7 Dm7 G7 Cmaj7 <bridge_3> Am G F E <outro_1> Am Dm Em Am,,'folk',,,artist_67,folk,synth000067,synthartist000067
68,<intro_1> Bb Eb F Eb <solo_1> Bb Eb F Eb <outro_1> Bb F Gm Dm Eb Bb Eb F,,'electronic',2000.0,,artist_68,electronic,synth000068,synthartist000068
69,<intro_1> Bbm7 Ebm7 Ab7 Dbmaj7 <chorus_1> Bbm Ebm Fm Bbm <bridge_1> Bbm Ebm Fm Bbm <verse_1> Bbm Gb Db Ab <verse_2> Bbm Gb Db Ab <outro_1> Bbm Ebm Ab Db,,,1990.0,,artist_69,,synth000069,synthartist000069
70,<intro_1> F#m D A E <solo_1> Bm E A <verse_1> Bm E A <verse_2> Bm E A <solo_2> Amaj7 Dmaj7 E7 Amaj7 <outro_1> A E F#m D,,'hip hop',2020.0,,artist_70,hip hop,,
71,<intro_1> Gm F Eb D <solo_1> Gm Eb Bb F <solo_2> Gm F Eb D <verse_1> Gm Eb Bb F <verse_2> Gm Eb Bb F <outro_1> Gm F Eb D,,'electronic',2000.0,,artist_71,electronic,,
72,<intro_1> C Am F G <solo_1> Am F C G <bridge_1> Dm G C <chorus_1> C G Am Em F C F G <chorus_2> C G Am Em F C F G <outro_1> Cmaj7 Fmaj7 G7 Cmaj7,,'electronic',,,artist_72,electronic,,
73,<intro_1> B F# G#m D#m E B E F# <chorus_1> G#m E B F# <solo_1> B F# G#m E <outro_1> B F# G#m E,,,2000.0,,artist_73,,synth000073,synthartist000073
74,<intro_1> G#m C# F# <verse_1> F# D#m B C# <bridge_1> D#m B F# C# <outro_1> D#m B F# C#,,,2000.0,,artist_74,,synth000074,synthartist000074
75,<intro_1> Em D C B <solo_1> Em Am Bm Em <outro_1> Em Am Bm Em,,'indie',2000.0,,artist_75,indie,,
76,<intro_1> Abm Dbm Ebm Abm <verse_1> Abm7 Dbm7 Gb7 Cbmaj7 <outro_1> Abm7 Dbm7 Gb7 Cbmaj7,,,2000.0,,artist_76,,synth000076,synthartist000076
77,<intro_1> Bbm Ebm Ab Db <solo_1> Bbm Gb Db Ab <outro_1> Bbm Ebm Ab Db,,'jazz',1980.0,,artist_77,jazz,,
78,<intro_1> E B C#m A <bridge_1> E B C#m A <outro_1> E A B A,,'pop',,,artist_78,pop,synth000078,synthartist000078
79,<intro_1> Bbm Ebm Fm Bbm <chorus_1> Bbm7 Ebm7 Ab7 Dbmaj7 <bridge_1> Bbm Ebm Ab Db <outro_1> Bbm Ebm Ab Db,,,2020.0,,artist_79,,synth000079,synthartist000079
80,<intro_1> Fm Db Ab Eb <chorus_1> Fm Db Ab Eb <chorus_2> Fm Db Ab Eb <outro_1> Fm Bbm Cm Fm,,,2020.0,,artist_80,,,
81,<intro_1> Dm7 Gm7 C7 Fmaj7 <verse_1> Dm Bb F C <bridge_1> Dm Bb F C <bridge_2> Dm C Bb A <chorus_1> Dm C Bb A <outro_1> Dm C Bb A,,,2000.0,,artist_81,,synth000081,synthartist000081
82,<intro_1> Abm Fb Cb Gb <chorus_1> Abm Dbm Ebm Abm <outro_1> Abm Fb Cb Gb,,,1990.0,,artist_82,,synth000082,synthartist000082
83,<intro_1> C G Am F <verse_1> C Am F G <chorus_1> C Am F G <bridge_1> Am F C G <solo_1> C F G F <outro_1> Dm G C,,,,,artist_83,,synth000083,synthartist000083
84,<intro_1> A E F#m D <bridge_1> A E F#m C#m D A D E <outro_1> Amaj7 Dmaj7 E7 Amaj7,,,,,artist_84,,synth000084,synthartist000084
85,<intro_1> Am Dm G C <verse_1> Am F C G <solo_1> Am7 Dm7 G7 Cmaj7 <bridge_1> Am7 Dm7 G7 Cmaj7 <verse_2> Am F C G <outro_1> Am Dm G C,,,1970.0,,artist_85,,synth000085,synthartist000085
86,<intro_1> Bbm Ab Gb F <chorus_1> Bbm Ab Gb F <bridge_1> Bbm Ab Gb F <bridge_2> Bbm Ab Gb F <outro_1> Bbm7 Ebm7 Ab7 Dbmaj7,,,1970.0,,artist_86,,,
87,<intro_1> Em7 Am7 D7 Gmaj7 <bridge_1> Em Am Bm Em <bridge_2> Em D C B <verse_1> Em Am D G <outro_1> Em Am Bm Em,,,1990.0,,artist_87,,,
88,<intro_1> B G#m E F# <chorus_1> Bmaj7 Emaj7 F#7 Bmaj7 <chorus_2> Bmaj7 Emaj7 F#7 Bmaj7 <outro_1> B F# G#m E,,,2000.0,,artist_88,,,
89,<intro_1> Gm Eb Bb F <solo_1> Gm Eb Bb F <solo_2> Gm7 Cm7 F7 Bbmaj7 <chorus_1> Gm Cm F Bb <outro_1> Gm Cm Dm Gm,,'country',1980.0,,artist_89,country,synth000089,synthartist000089
90,<intro_1> A F#m D E <bridge_1> F#m D A E <bridge_2> A F#m D E <outro_1> A D E D,,,1980.0,,artist_90,,synth000090,synthartist000090
91,<intro_1> Dm Bb F C <bridge_1> Dm Bb F C <chorus_1> Dm7 Gm7 C7 Fmaj7 <chorus_2> Dm Gm C F <verse_1> Dm Gm Am Dm <outro_1> Dm7 Gm7 C7 Fmaj7,,'jazz',,,artist_91,jazz,synth000091,synthartist000091
92,<intro_1> Em C G D <verse_1> Em Am Bm Em <outro_1> Em Am D G,,,1980.0,,artist_92,,synth000092,synthartist000092
93,<intro_1> Bm7 Em7 A7 Dmaj7 <solo_1> Bm Em F#m Bm <bridge_1> Bm A G F# <outro_1> Bm Em F#m Bm,,,1980.0,,artist_93,,,
94,<intro_1> Ebm Abm Db Gb <bridge_1> Ebm7 Abm7 Db7 Gbmaj7 <chorus_1> Ebm7 Abm7 Db7 Gbmaj7 <chorus_2> Ebm Abm Bbm Ebm <outro_1> Ebm7 Abm7 Db7 Gbmaj7,,'jazz',1970.0,,artist_94,jazz,synth000094,synthartist000094
95,<intro_1> F C Dm Am Bb F Bb C <solo_1> F C Dm Bb <outro_1> F Bb C Bb,,'country',,,artist_95,country,synth000095,synthartist000095
96,<intro_1> Em Am Bm Em <chorus_1> Em7 Am7 D7 Gmaj7 <chorus_2> Em7 Am7 D7 Gmaj7 <outro_1> Em C G D,,,,,artist_96,,,
97,<intro_1> Em Am D G <bridge_1> Em7 Am7 D7 Gmaj7 <verse_1> Em7 Am7 D7 Gmaj7 <solo_1> Em D C B <verse_2> Em7 Am7 D7 Gmaj7 <outro_1> Em Am D G,,'metal',,,artist_97,metal,,
98,<intro_1> C G Am Em F C F G <verse_1> Dm G C <bridge_1> Am F C G <solo_1> Am F C G <outro_1> C G Am Em F C F G,,'pop',1990.0,,artist_98,pop,synth000098,synthartist000098
99,<intro_1> Gm C F <bridge_1> F Bb C Bb <chorus_1> Dm Bb F C <chorus_2> Dm Bb F C <chorus_3> Dm Bb F C <outro_1> F Dm Bb C,,'pop',1980.0,,artist_99,pop,,
100,<intro_1> G D Em C <chorus_1> G C D C <bridge_1> G D Em Bm C G C D <outro_1> Em C G D,,,1990.0,,artist_100,,synth000100,synthartist000100
101,<intro_1> Cm Ab Eb Bb <bridge_1> Eb Bb Cm Gm Ab Eb Ab Bb <verse_1> Eb Cm Ab Bb <outro_1> Cm Ab Eb Bb,,'indie',2000.0,,artist_101,indie,synth000101,synthartist000101
102,<intro_1> F#m7 Bm7 E7 Amaj7 <verse_1> F#m Bm C#m F#m <bridge_1> F#m E D C# <solo_1> F#m D A E <solo_2> F#m Bm E A <outro_1> F#m Bm C#m F#m,,,,,artist_102,,synth000102,synthartist000102
103,<intro_1> F#m D A E <chorus_1> F#m D A E <outro_1> F#m7 Bm7 E7 Amaj7,,'electronic',1990.0,,artist_103,electronic,synth000103,synthartist000103
104,<intro_1> F# C# D#m B <bridge_1> F# C# D#m B <chorus_1> G#m7 C#7 F#maj7 <solo_1> G#m7 C#7 F#maj7 <bridge_2> G#m7 C#7 F#maj7 <outro_1> F# D#m B C#,,'country',1980.0,,artist_104,country,synth000104,synthartist000104
105,<intro_1> Cm Bb Ab G <chorus_1> Cm7 Fm7 Bb7 Ebmaj7 <bridge_1> Cm Fm Bb Eb <solo_1> Cm Fm Bb Eb <solo_2> Cm Fm Gm Cm <outro_1> Cm Bb Ab G,,'indie',,,artist_105,indie,synth000105,synthartist000105
106,<intro_1> Abm7 Dbm7 Gb7 Cbmaj7 <solo_1> Abm Gb Fb Eb <solo_2> Abm Dbm Ebm Abm <outro_1> Abm Dbm Gb Cb,,'country',1990.0,,artist_106,country,,
107,<intro_1> Am G F E <bridge_1> Am7 Dm7 G7 Cmaj7 <outro_1> Am7 Dm7 G7 Cmaj7,,,1990.0,,artist_107,,synth000107,synthartist000107
108,<intro_1> F C Dm Am Bb F Bb C <bridge_1> F Dm Bb C <outro_1> Gm7 C7 Fmaj7,,,2000.0,,artist_108,,,
109,<intro_1> C#m7 F#7 Bmaj7 <bridge_1> B F# G#m E <outro_1> B G#m E F#,,'jazz',1990.0,,artist_109,jazz,synth000109,synthartist000109
110,<intro_1> Cm Ab Eb Bb <verse_1> Cm Ab Eb Bb <verse_2> Cm Ab Eb Bb <outro_1> Eb Bb Cm Ab,,,2010.0,,artist_110,,synth000110,synthartist000110
111,<intro_1> B G#m E F# <verse_1> Bmaj7 Emaj7 F#7 Bmaj7 <solo_1> B F# G#m D#m E B E F# <solo_2> C#m7 F#7 Bmaj7 <outro_1> Bmaj7 Emaj7 F#7 Bmaj7,,,,,artist_111,,synth000111,synthartist000111
112,<intro_1> Dm Gm Am Dm <solo_1> Dm C Bb A <verse_1> Dm Bb F C <chorus_1> Dm C Bb A <bridge_1> Dm7 Gm7 C7 Fmaj7 <outro_1> Dm Gm C F,,,,,artist_112,,synth000112,synthartist000112
113,<intro_1> Cm F Bb <chorus_1> Bbmaj7 Ebmaj7 F7 Bbmaj7 <bridge_1> Cm F Bb <verse_1> Gm Eb Bb F <outro_1> Cm F Bb,,,2010.0,,artist_113,,synth000113,synthartist000113
114,<intro_1> Amaj7 Dmaj7 E7 Amaj7 <verse_1> Bm7 E7 Amaj7 <bridge_1> F#m D A E <solo_1> Amaj7 Dmaj7 E7 Amaj7 <outro_1> F#m D A E,,'r&b',1990.0,,artist_114,r&b,synth000114,synthartist000114
115,<intro_1> F#m Bm E A <verse_1> F#m E D C# <bridge_1> F#m Bm E A <solo_1> F#m Bm E A <verse_2> F#m E D C# <outro_1> F#m Bm E A,,,2000.0,,artist_115,,synth000115,synthartist000115
116,<intro_1> Dm C Bb A <bridge_1> Dm Gm C F <outro_1> Dm Bb F C,,,2020.0,,artist_116,,,
117,<intro_1> Dm Bb F C <solo_1> F Dm Bb C <bridge_1> Gm7 C7 Fmaj7 <chorus_1> Fmaj7 Bbmaj7 C7 Fmaj7 <outro_1> F Bb C Bb,,,1980.0,,artist_117,,synth000117,synthartist000117
118,<intro_1> A E F#m D <verse_1> Amaj7 Dmaj7 E7 Amaj7 <chorus_1> A D E D <solo_1> Bm7 E7 Amaj7 <outro_1> A E F#m D,,'jazz',2020.0,,artist_118,jazz,synth000118,synthartist000118
119,<intro_1> Fm7 Bb7 Ebmaj7 <chorus_1> Eb Cm Ab Bb <bridge_1> Cm Ab Eb Bb <outro_1> Eb Bb Cm Ab,,'r&b',1990.0,,artist_119,r&b,synth000119,synthartist000119
120,<intro_1> G D Em Bm C G C D <chorus_1> G D Em C <chorus_2> G D Em Bm C G C D <chorus_3> G D Em Bm C G C D <verse_1> G D Em Bm C G C D <outro_1> G Em C D,,'pop',1980.0,,artist_120,pop,synth000120,synthartist000120
121,<intro_1> Fmaj7 Bbmaj7 C7 Fmaj7 <solo_1> F C Dm Am Bb F Bb C <outro_1> F Bb C Bb,,'hip hop',1970.0,,artist_121,hip hop,synth000121,synthartist000121
122,<intro_1> Abm Gb Fb Eb <chorus_1> Abm Dbm Ebm Abm <verse_1> Abm Dbm Ebm Abm <bridge_1> Abm7 Dbm7 Gb7 Cbmaj7 <bridge_2> Abm Dbm Gb Cb <outro_1> Abm7 Dbm7 Gb7 Cbmaj7,,'r&b',2000.0,,artist_122,r&b,synth000122,synthartist000122
123,<intro_1> Bbm Ab Gb F <chorus_1> Bbm Ebm Ab Db <bridge_1> Bbm Gb Db Ab <verse_1> Bbm Ebm Ab Db <bridge_2> Bbm Gb Db Ab <outro_1> Bbm Ebm Ab Db,,,2000.0,,artist_123,,synth000123,synthartist000123
124,<intro_1> Fm Bb Eb <solo_1> Eb Bb Cm Ab <chorus_1> Eb Cm Ab Bb <outro_1> Eb Bb Cm Gm Ab Eb Ab Bb,,,,,artist_124,,,
125,<intro_1> Gm Cm Dm Gm <chorus_1> Gm Eb Bb F <outro_1> Gm Cm Dm Gm,,,2020.0,,artist_125,,synth000125,synthartist000125
126,<intro_1> Bm7 Em7 A7 Dmaj7 <verse_1> Bm A G F# <verse_2> Bm A G F# <solo_1> Bm G D A <verse_3> Bm A G F# <outro_1> Bm A G F#,,'metal',1970.0,,artist_126,metal,,
